tempo,Vo
1780861922.553,0
1780861922.563,0
1780861922.574,0
1780861922.584,0
1780861922.594,0
1780861922.604,0
1780861922.615,0
1780861922.624,0
1780861922.634,0
1780861922.644,0
1780861922.655,0
1780861922.664,0
1780861922.674,0
1780861922.684,0
1780861922.695,0
1780861922.704,0
1780861922.714,0
1780861922.724,0
1780861922.735,0
1780861922.744,0
1780861922.754,0
1780861922.764,0
1780861922.774,0
1780861922.785,0
1780861922.794,0
1780861922.804,0
1780861922.814,0
1780861922.825,0
1780861922.834,0
1780861922.844,0
1780861922.854,0
1780861922.865,0
1780861922.874,0
1780861922.884,0
1780861922.894,0
1780861922.905,0
1780861922.915,0
1780861922.925,0
1780861922.936,0
1780861922.946,0
1780861922.956,0
1780861922.965,0
1780861922.975,0
1780861922.986,0
1780861922.996,0
1780861923.005,0
1780861923.015,0
1780861923.026,0
1780861923.036,0
1780861923.045,0
1780861923.055,0
1780861923.066,0
1780861923.076,0
1780861923.086,0
1780861923.096,0
1780861923.107,0
1780861923.117,0
1780861923.127,0
1780861923.136,0
1780861923.147,0
1780861923.157,0
1780861923.167,0
1780861923.176,0
1780861923.187,0
1780861923.197,0
1780861923.207,0
1780861923.216,0
1780861923.227,0
1780861923.237,0
1780861923.247,0
1780861923.256,0
1780861923.266,0
1780861923.277,0
1780861923.287,0
1780861923.297,0
1780861923.307,0
1780861923.317,0
1780861923.327,0
1780861923.337,0
1780861923.346,0
1780861923.357,0
1780861923.367,0
1780861923.377,0
1780861923.386,0
1780861923.397,0
1780861923.407,0
1780861923.417,0
1780861923.427,0
1780861923.438,0
1780861923.448,0
1780861923.458,0
1780861923.468,0
1780861923.478,0
1780861923.488,0
1780861923.498,0
1780861923.508,0
1780861923.518,0
1780861923.528,0
1780861923.538,0
1780861923.548,0
1780861923.558,0
1780861923.568,0
1780861923.578,0
1780861923.588,0
1780861923.599,0
1780861923.609,0
1780861923.619,0
1780861923.629,0
1780861923.64,0
1780861923.649,0
1780861923.659,0
1780861923.669,0
1780861923.68,0
1780861923.689,0
1780861923.699,0
1780861923.709,0
1780861923.72,0
1780861923.729,0
1780861923.739,0
1780861923.749,0
1780861923.76,0
1780861923.769,0
1780861923.779,0
1780861923.789,0
1780861923.8,0
1780861923.81,0
1780861923.819,0
1780861923.829,0
1780861923.84,0
1780861923.85,0
1780861923.859,0
1780861923.869,0
1780861923.88,0
1780861923.89,0
1780861923.899,0
1780861923.909,0
1780861923.919,0
1780861923.93,0
1780861923.94,0
1780861923.95,0
1780861923.96,0
1780861923.971,0
1780861923.981,0
1780861923.99,0
1780861924,0
1780861924.011,0
1780861924.021,0
1780861924.03,0
1780861924.04,0
1780861924.051,0
1780861924.061,0
1780861924.07,0
1780861924.08,0
1780861924.091,0
1780861924.101,0
1780861924.111,0
1780861924.121,0
1780861924.132,0
1780861924.142,0
1780861924.152,0
1780861924.161,0
1780861924.172,0
1780861924.182,0
1780861924.192,0
1780861924.201,0
1780861924.212,0
1780861924.222,0
1780861924.232,0
1780861924.241,0
1780861924.252,0
1780861924.262,0
1780861924.272,0
1780861924.281,0
1780861924.292,0
1780861924.302,0
1780861924.312,0
1780861924.322,0
1780861924.332,0
1780861924.342,0
1780861924.352,0
1780861924.362,0
1780861924.372,0
1780861924.382,0
1780861924.392,0
1780861924.402,0
1780861924.412,0
1780861924.422,0
1780861924.432,0
1780861924.442,0
1780861924.453,0
1780861924.463,0
1780861924.473,0
1780861924.483,0
1780861924.494,0
1780861924.503,0
1780861924.513,0
1780861924.523,0
1780861924.534,0
1780861924.543,0
1780861924.553,0
1780861924.563,0
1780861924.573,0
1780861924.583,0
1780861924.593,0
1780861924.603,0
1780861924.613,0
1780861924.624,0
1780861924.634,0
1780861924.644,0
1780861924.654,0
